Nome da Música,link,album,letra
Água,/djavan/agua.html,Para Sempre: Djavan,"Tudo que se passa aqui Não passa de um naufrágio Eu me criei no mar E foi lá que aprendi a nadar Pra Nada Eu aprendi pra nada  A maré subiu demasiada E tudo aqui está que é água Que é água  Água pra encher Água pra manchar Água pra vazar a vida Água pra reter Água pra arrasar Água na minha comida  Água pra encher Água pra manchar Água pra vazar a vida Água pra reter Água pra arrasar Água na minha comida  Água, aguaceiro Águadouro Água que limpa o couro Couro até mata  Água, aguaceiro Águadouro Água que limpa o couro Couro até mata  Água, aguaceiro Águadouro Água que limpa o couro Couro até mata  Água, aguaceiro Águadouro Água que limpa o couro Couro até mata"
Água de Lua,/djavan/agua-de-lua.html,Novena,"Faca de ponta, peixeira Pau na moleira, espingarda Cano comprido estampido no ar Clarão da espada afiada A morte um dia há de chegar  Fogo cuspiu, labareda Flora no mato, vereda Prata boiando nas águas do luar Clarão da espada afiada A morte um dia há de chegar  Eu me criei no molhado Areia e pedras do lado Berço de uma sereia   © 1982 Luanda Edições Musicais Ltda."
Alagoas,/djavan/alagoas.html,,"Ô Maceió É três mulé prum homem só Ô Maceió É três mulé prum homem só Eu fui batizado na capela do farol Matriz de Santa Rita, Maceió Eu fui batizado na capela do farol Matriz de santa Rita, Maceió mas foi beirando estrada abaixo que eu piquei a mula Disposto a colar grau na escola da natura Se alguém me perguntar Não tenho nada a dizer Pois eu, pra me realizar Preciso morrer Mas foi beirando estrada abaixo que eu piquei a mula Disposto a colar um grau na escola da natura Se alguém me perguntar Não tenho nada a dizer Pois eu, pra me realizar preciso morrer Você me deu liberdade Pra meu destino escolher E quando sentir saudades Poder chorar por você Não vê, minha terra mãe Que estou a me lamentar É que eu fui condenado a viver do que cantar A--la, a--la, ala, Alagoas A--la, a--la, ala, Alagoas Eu fui batizado na capela do farol......  © 1978 BMG"
Alegre menina,/djavan/alegre-menina.html,Djavan - Novelas,"O que fizeste sultão de minha alegre menina? Palácio real lhe dei, um trono de pedraria Sapato bordado a ouro, esmeraldas e rubis Ametista para os dedos, vestidos de diamantes Escravas para serví-la, um lugar no meu dossel E a chamei de rainha, e a chamei de rainha O que fizeste sultão de minha alegre menina?  Só desejava campina, colher as flores do mato Só desejava um espelho de vidro prá se mirar Só desejava do sol calor para bem viver Só desejava o luar de prata prá repousar Só desejava o amor dos homens prá bem amar Só desejava o amor dos homens prá bem amar  No baile real levei-a, tua, alegre menina Vestida de realeza, com princesas conversou Com doutores praticou, dançou a dança faceira Bebeu o vinho mais caro, mordeu fruta estrangeira Entrou nos braços do rei, rainha mas verdadeira Entrou nos braços do rei, rainha mas verdadeira"
Além de Amar,/djavan/alem-de-amar.html,Milagreiro,Além de amar   Quero esquecer É como nódoa e não sai Nem pra fugir Sair já não me distrai Como extinguir As sobras de uma paixão Retidas no mais secreto vão  Tanto a dizer Mas tais palavras não saem Donas de si Para não me verem ruir me traem Eu me perdi e não sei como explicar O que foi que eu fiz além de amar  Ou é desamor ou é intriga Seja o que for Já nos desune Se é por amar que a gente briga Bem pode ser ciúme Mas tudo é pouco pra tanto sofrer Sem razão Pra convencer meu coração
Aliás,/djavan/alias.html,Novena,"Existem coisas que o amor diz Com aquela coisa a mais De quem é feliz Jóias caras produzidas no coração Tiaras sem fim Guardo essa luzes pra te servir  É tanta coisa que o amor faz Vem como um rio, em sua calma voraz Timidez mas, sabe voar Pra fugir da sombra do não-querer Ademais, quem é que quer sofrer?  Você, o sonho Meus pés, o chão Mesmo que bravo O mar vira na canção Mística rosa, ave rubra Meu Deus do céu da boca rubi Beijo esperado me leve a ti  É um sacrifício dizer um não Em seu ofício de obedecer à paixão Seja como for, sempre se faz por prazer Tudo o que o amor diz Aliás, quem não quer ser feliz?  É um sacrifício dizer um não Em seu ofício da obedecer à paixão Seja como for, sempre se faz por prazer Tudo o que o amor diz Aliás, quem não quer ser feliz?"
Álibi,/djavan/alibi.html,Para Sempre: Djavan,"Álibi  Havia mais que um desejo A força do beijo Por mais que vadia Não sacia mais  Meus olhos lacrimejam teu corpo Exposto à mentira do calor da ira No afã de um desejo que não contraíra No amor, a tortura está por um triz  Mas gente atura e até se mostra feliz Quando se tem o álibi De ter nascido ávido E convivido inválido Mesmo sem ter havido, havido  Quando se tem o álibi De ter nascido ávido E convivido inválido Mesmo sem ter havido, havido  Quando se tem o álibi De ter nascido ávido E convivido inválido Mesmo sem ter havido, havido  Havia mais que um desejo"
Alívio,/djavan/alivio.html,Coisa De Acender,Aturei andar de bar em bar; na contra-mão Pra Seguir a sua direção Vou na praia e todos são iguais; queimados ou não Sempre a procurar sem direção  Aturdido sem sentido Não sei onde vou Toda hora é como agora É viver só pra lhe esperar  Eu queria tanto descansar; o meu coração Uma nova má notícia não Seja lindo o amor bem vindo; e cresça o quanto for Me apareça e faça o seu gol  Pra eu respirar e ter alívio Nessa condição; vou poder me situar em seu convívio; tão colorido Quiçá no lado azul; preto branco qualquer cor Mas sempre vivo
Amar é Tudo,/djavan/amar-e-tudo.html,Ao Vivo - Vols. 1 e 2,"Meu amor Eu nem sei te dizer quanta dor Mesmo a noite não sabia O que o amor escondia Minha vida Que fazer com minh'alma perdida? Foi um raio de ilusão Bem no meu coração E veio com tudo Dissabor e tudo Veio com tudo Dissabor e tudo Eu sei, Eu não sei viver sem ela Assim, um simples talvez me desespera Ninguém pode querer bem sem ralar Não há nada o que fazer Amar é tudo.   © 1998 Luanda Edições Musicais Ltda."
Amor Algum,/djavan/amor-algum.html,Vaidade,"Lua, que vai pela noite Olha aqui pra mim Vira essa minha sorte E faz eu ser mais feliz Todas as estradas que andei Naum me trouxeram Jamais amor algum Me traz um E eu te apresentarei Ao céu azul Pra que eu não veja Nada sem cor E o sol raiar Sem amor Pra que eu não veja o tempo passar No desespero E nada de me apaixonar Não sobreviverei Serei fácl de achar Sem coleira, atacando Insensibilidade Tô pronto pra esbanjar Toda vez que eu for sair UaaU! Que delírio o meu O que eu quero é amar Nem que o amor não seja eu"
