Nome da Música,link,album,letra
A Ilha Não Se Curva,/engenheiros-do-hawaii/a-ilha-nao-se-curva.html,Infinita Highway,Presente em tudo que eu faço Em qualquer hora e lugar Em toda esquina em cada passo Profana luz a me guiar Vida a fora... noite a dentro  Impressa em cada gesto meu Brilha a luz no fim do túnel Cores capazes de cegar Quem tem medo de entregar-se Vida a fora... noite a dentro  Inimigos na trincheira Guantanamera militar E a ilha não se curva Às águas turvas desse mar Vida a fora... noite a dentro
A Montanha,/engenheiros-do-hawaii/a-montanha.html,Novos Horizontes,"Nem tão longe que eu não possa ver Nem tão perto que eu possa tocar Nem tão longe que eu não possa crer que um dia chego lá Nem tão perto que eu possa acreditar que o dia já chegou  No alto da montanha, num arranha-céu No alto da montanha, num arranha-céu  Se eu pudesse, ao menos te contar o que se enxerga lá do alto Com céu aberto, limpo e claro ou com os olhos fechados Se eu pudesse, ao menos, te levar comigo lá  Pro alto da montanha, num arranha-céu Pro alto da montanha, num arranha-céu Sem final feliz ou infeliz...atores sem papel No alto da montanha, à toa, ao léu  Nem tão longe, impossível Nem tampouco lá... já, já  No alto da montanha, num arranha-céu No alto da montanha, num arranha-céu Sem final feliz ou infeliz...atores sem papel No alto da montanha, num arranha-céu"
A Onda,/engenheiros-do-hawaii/a-onda.html,Novos Horizontes,"força não há capaz de enfrentar uma idéia cujo tempo tenha chegado  a força não é capaz de salvar uma idéia cujo tempo tenha passado  pra pegar a onda tem que estar na hora certa num certo lugar pra pegar a onda, deixa estar deixa a onda te pegar deixa a onda te levar  pra pegar a onda tem que estar na hora certa num certo lugar pra pegar a onda, deixa estar deixa a onda te pegar deixa a onda te levar   pra pegar a onda tem que estar surfando karmas &amp; DNA não dá pra domar a força do mar deixa a onda te pegar deixa a onda te levar"
A Perigo,/engenheiros-do-hawaii/a-perigo.html,Infinita Highway,"Planos de vôo Tava tudo em cima: céu de brigadeiro sobre nós Pane... pânico Perdemos a altura... puxaram o tapete voador Hoje estamos à perigo Hoje estamos separados, divididos Mas um dia, um dia, nós seremos a maioria  Pane...! que pena! Panos quentes Fica tudo como está; no mesmo lugar... impunemente Hoje estamos a perigo Hoje estamos separados, divididos Mas um dia, um dia, nós seremos a maioria  Eu sigo em frente, pra frente eu vou Eu sigo em frente, pra frente eu vou Eu sigo em frente, pra frente eu vou Eu sigo enfrentando a onda Onde muita gente naufragou  Nós seremos a maioria Seremos a maioria   Thiaguinn ;]~~"
A Promessa,/engenheiros-do-hawaii/a-promessa.html,Infinita Highway,"Não vejo nada (o que eu vejo não me agrada) Não ouço nada (o que eu ouço não diz nada) Perdi a conta das pérolas e porcos que eu cruzei pela estrada  Estou ligado à cabo a tudo que acaba de acontecer  Propaganda é a arma do negócio No nosso peito bate um alvo muito fácil Mira à laser. Miragem de consumo Latas e litros de paz teleguiada Estou ligado à cabo a tudo que eles têm pra oferecer  O céu é só uma promessa Eu tenho pressa, vamos nessa direção Atrás de um sol que nos aqueça Minha cabeça não aguenta mais.  Tu me encontrastes de mãos vazias E eu te encontrei na contramão Na hora exata, na encruzilhada, na highway da superinformação Estamos tão ligados, já não temos o que temer  O céu é só uma promessa Eu tenho pressa, vamos nessa direção Atrás de um sol que nos aqueça Minha cabeça não aguenta mais."
A Revolta dos Dândis I,/engenheiros-do-hawaii/a-revolta-dos-dandis-i.html,Acústico MTV - Engenheiros do Hawaii,"Entre um rosto e um retrato O real e o abstrato Entre a loucura e a lucidez Entre o uniforme e a nudez Entre o fim do mundo e o fim do mês Entre a verdade e o rock inglês Entre os outros e vocês  Eu me sinto um estrangeiro Passageiro de algum trem Que não passa por aqui Que não passa de ilusão  Entre mortos e feridos Entre gritos e gemidos A mentira e a verdade A solidão e a cidade Entre um copo e outro da mesma bebida Entre tantos corpos Com a mesma ferida  Eu me sinto um estrangeiro Passageiro de algum trem Que não passa por aqui Que não passa de ilusão Eu me sinto um estrangeiro Passageiro de algum trem Que não passa por aqui Que não passa de ilusão  Entre americanos e soviéticos Gregos e troianos * Entra ano e sai ano Sempre os mesmos planos Entre a minha boca e a tua Há tanto tempo, há tantos planos Mas eu nunca sei pra onde vamos  Eu me sinto um estrangeiro Passageiro de algum trem Que não passa por aqui Que não passa de ilusão Eu me sinto um estrangeiro Passageiro de algum trem Que não passa por aqui Que não passa de ilusão  Eu me sinto um estrangeiro...   *""Entre a crença e os fiéis Entre os dedos e os anéis""  Na versão do Acústico MTV"
A Revolta Dos Dândis II,/engenheiros-do-hawaii/a-revolta-dos-dandis-ii.html,Infinita Highway,"Já não vejo diferença entre os dedos e os anéis Já não vejo diferença entre a crença e os fiéis Tudo é igual quando se pensa em como tudo deveria ser Há tão pouca diferença e há tanta coisa a fazer Esquerda e direita, direitos e deveres, os 3 patetas, os 3 poderes Ascensão e queda, são os dois lados da mesma moeda Tudo é igual quando se pensa em Como tudo poderia ser Há tão pouca diferença e tanta coisa a escolher Nossos sonhos são os mesmos há muito tempo Mas não há mais muito tempo pra sonhar Nossos sonhos são os mesmos há muito tempo Mas não há mais muito tempo pra sonhar Pensei que houvesse um muro entre o lado claro e o lado escuro Pensei que houvesse diferença entre gritos e sussurros Mas foi engano, foi tudo em vão Já não há mais diferença entre a raiva e a razão Esquerda e direita, direitos e deveres, os 3 porquinhos, os 3 poderes Ascenção e queda, são os dois lados da mesma moeda Tudo é igual quando se pensa em como tudo poderia ser Há tanto sonhos a sonhar há tantas vidas a viver nossos sonhos são os mesmos,a muito tempo mas não há mas tanto tempo pra sonhar.. Nossos sonhos são os mesmos, mas muito tempo mas não há mas tanto tempo pra sonhar.. Tempo pra sonhar Nossos sonhos são os mesmos, há muito tempo mas não há mais muito tempo pra sonhar.. Nossos sonhos são os mesmos, há muito tempo mas não há mais muito tempo pra sonhar.. Entre o rosto e o retrato, o real e o abstrato Entre a loucura e a lucidez Entre o uniforme e a nudez Entre os outros e voces Camila Paiva..."
A Verdade a Ver Navios,/engenheiros-do-hawaii/a-verdade-a-ver-navios.html,Maxximum: Engenheiros do Hawaii,"Na hora ""H"" no dia ""D"" Na hora de pagar pra ver Ninguém diz o que disse não era bem assim  Na hora ""H"" no dia ""D"" na hora de acender a luz Ninguém dá nome aos bois Tudo fica pra depois  Na hora ""H"" no dia ""D"" Ninguém paga pra ver tudo fica pra trás Querem é mais esquecer  Mas é impossível repetir o que só acontece uma vez É impossível reprimir o que acontece toda vez que alguém acorda Porque já não aguenta mais E a corda arrebenta do lado mais forte  É muito engraçado que todos tenham os mesmos sonhos E que o sonho nunca vire realidade  É muito engraçado que estejam do mesmo lado Os que querem iluminar e os que querem iludir  É muito engraçado que todo mundo tenha armas capazes de tudo de todo mundo acabar No dia ""D"" na hora ""H""  E é impossível repetir o que só acontece uma vez É impossível reprimir o que acontece toda vez Que alguém acorda Porque já não aguenta mais e a corda arrebenta no lado mais forte  É impossível repetir o que só acontece uma vez É impossível reprimir o que acontece toda vez Que chega a hora de dizer chega! a hora de dizer chega! a hora de dizer chega dizer chega!  Não pagar pra ver A verdade a ver navios Onde já se viu"
A Violência Travestida Faz Seu Trottoir,/engenheiros-do-hawaii/a-violencia-travestida-fez-seu-trottoir.html,Infinita Highway,"No ar que se respira, nos gestos mais banais Em regras, mandamentos, julgamentos, tribunais Na vitória do mais forte, na derrota dos iguais A violência travestida faz seu trottoir  Na procura doentia de qualquer prazer Na arquitetura metafísica das catedrais Nas arquibancadas, nas cadeiras, nas gerais A violência travestida faz seu trottoir  Na maioria silenciosa, orgulhosa de não ter Vontade de gritar, nada pra dizer A violência travestida faz seu trottoir Nos anúncios de cigarros que avisam que fumar faz mal  A violência travestida faz seu trottoir Em anúncios luminosos, lâminas de barbear Armas de brinquedo, medo de brincar A violência travestida faz seu trottoir  No vídeo, idiotice intergalática Na mídia, na moda, nas farmácias No quarto de dormir, na sala de jantar A morte anda tão viva, a vida anda pra trás É a livre iniciativa, igualdade aos desiguais Na hora de dormir, na sala de estar A violência travestida faz seu trottoir  Uma bala perdida encontra alguém perdido Encontra abrigo num corpo que passa por ali E estraga tudo, enterra tudo, pá de cal Enterra todos na vala comum de um discurso liberal  A violência travestida faz seu trottoir Em anúncios luminosos, lâminas de barbear Armas de brinquedo, medo de brincar A violência travestida faz seu trottoir  A violência travestida faz seu trottoir Em anúncios luminosos, lâminas de barbear Armas de brinquedo, medo de brincar A violência travestida faz seu trottoir  Tudo que ele deixou foi uma carta de amor Para uma apresentadora de programa infantil Nela, ele dizia que já não era criança E que a esperança também dança como monstros de um filme japonês  Tudo que ele tinha era uma foto desbotada Recortada de revista especializada em vida de artista Tudo que ele queria era encontrá-la um dia Todo suicida acredita na vida depois da morte Tudo que ele tinha cabia no bolso da jaqueta A vida, quando acaba, cabe em qualquer lugar E a violência travestida faz seu trottoir  Não se renda Às evidências Não se prenda À primeira impressão Eles dizem com ternura O que vale é a intenção E te dão um cheque sem fundos Do fundo do coração (do fundo do coração)  No ar que se respira Nessa total falta de ar A violência travestida Faz seu trottoir  Em armas de brinquedo, medo de brincar Em anúncios luminosos, lâminas de barbear Nos anúncios de cigarros que avisam que fumar faz mal  A violência travestida faz seu trottoir  (by R.Shazzy)"
Alça de Mira,/engenheiros-do-hawaii/alca-de-mira.html,,"Um dia ela passa, Não se pode evitar. Sua vida inteira, Um filme no ar Passou, nem viu. Parou, pediu a saideira já na beira do abismo. Não passou recibo, até mais, passou batido e saiu do ar. Ficou no ar. Segunda-feira, a vida inteira ainda estava lá.  E ela não viu O que se passava ao seu redor. A todo momento Na lente de aumento Numa vitrine, um outdoor. Ela não viu O imã na porta da geladeira. Na alça de mira, uma bandeira. Na sua cara, a vida inteira.  De uma hora pra outra, De pernas pro ar. Sua vida inteira, Não estava mais lá. Cadê? Sumiu. Passou, nem viu. Era a cegueira já na beira do abismo.  Ela não viu O que se passava ao seu redor. A todo momento Na lente de aumento Numa vitrine, um outdoor. Ela não viu O imã na porta da geladeira. Na alça de mira, uma bandeira. Na sua cara, a vida inteira.  Ali na sua frente, Como um vampiro Na frente do espelho.  Ela não viu O que se passava ao seu redor. Ela não viu Numa vitrine, um outdoor. Ela não viu O imã na porta da geladeira. Na alça de mira, uma bandeira. Tava na cara, e ela não viu."
